title;genres;release_date;platforms;involved_companies;rating;tag
"Assassin's Creed II";"Platform | Adventure";"2009-11-17";"Xbox 360 | PC (Microsoft Windows) | iOS | PlayStation 3 | Mac";"Ubisoft Montreal | Ubisoft Entertainment | Ubisoft Singapore";"86.8";"Assassin’s Creed"
"Assassin's Creed Brotherhood";"Adventure";"2016-11-15";"PlayStation 4 | Xbox One | Nintendo Switch";"Ubisoft Montreal | Virtuos | Ubisoft Entertainment";"95.2";"Assassin’s Creed"
"Assassin's Creed Revelations";"Adventure";"2016-11-15";"PlayStation 4 | Xbox One | Nintendo Switch";"Ubisoft Montreal | Virtuos | Ubisoft Entertainment";"87.9";"Assassin’s Creed"
"Assassin's Creed III";"Adventure";"2012-10-30";"Xbox 360 | Wii U | PC (Microsoft Windows) | PlayStation 3";"Ubisoft Montreal | Ubisoft Singapore | Ubisoft Annecy | Ubisoft Bucharest | Ubisoft Kyiv | Ubisoft Québec | Ubisoft Entertainment";"73.4";"Assassin’s Creed"
"Assassin's Creed IV Black Flag + Assassin's Creed Rogue Double Pack";"Adventure";"2017-12-31";"PlayStation 3";"";"";"Assassin’s Creed"
"Assassin's Creed Rogue";"Role-playing (RPG) | Adventure";"2014-11-11";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3";"Ubisoft Sofia | Ubisoft Chengdu | Ubisoft Montreal | Ubisoft Singapore | Ubisoft Québec | Ubisoft Kyiv | Ubisoft Bucharest | Ubisoft Milan | Alice Studio | Helix";"73.0";"Assassin’s Creed"
"Assassin's Creed Unity";"Role-playing (RPG) | Adventure";"2014-11-11";"PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox One";"Ubisoft Montreal | Ubisoft Singapore | Ubisoft Toronto | Ubisoft Annecy | Ubisoft Kyiv | Ubisoft Chengdu | Ubisoft Shanghai | Ubisoft Québec | Ubisoft Entertainment";"71.4";"Assassin’s Creed"
"Assassin's Creed Syndicate";"Adventure";"2015-10-23";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Xbox One";"Ubisoft Montreal | Ubisoft Singapore | Ubisoft Annecy | Ubisoft Montpellier | Ubisoft Reflections | Ubisoft Chengdu | Ubisoft Shanghai | Ubisoft Sofia | Ubisoft Kyiv | Ubisoft Québec";"74.8";"Assassin’s Creed"
"Assassin's Creed Origins";"Role-playing (RPG) | Adventure";"2017-10-26";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Xbox One";"Ubisoft Montreal | Ubisoft Sofia | Ubisoft Singapore | Ubisoft Montpellier | Ubisoft Chengdu | Ubisoft Kyiv | Ubisoft Shanghai | Ubisoft Philippines | Ubisoft Bucharest | Ubisoft Québec";"81.7";"Assassin’s Creed"
"Assassin's Creed Bundle: Assassin's Creed Valhalla, Assassin's Creed Odyssey, and Assassin's Creed Origins";"Role-playing (RPG) | Adventure";"2020-11-12";"Xbox Series X|S | Xbox One";"Ubisoft Entertainment";"";"Assassin’s Creed"
"Assassin's Creed Valhalla";"Role-playing (RPG) | Adventure";"2020-11-10";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Xbox One";"Ubisoft Montreal | Ubisoft Québec | Ubisoft Singapore | Ubisoft Sofia | Ubisoft Barcelona | Ubisoft Montpellier | Ubisoft Chengdu | Ubisoft Bordeaux | Ubisoft Kyiv | Ubisoft Philippines";"75.6";"Assassin’s Creed"
"Assassin's Creed Mirage & Assassin's Creed Valhalla Bundle";"Adventure";"2023-10-05";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One";"Ubisoft Bordeaux | Ubisoft Montreal | Ubisoft Entertainment";"";"Assassin’s Creed"
"Fast & Furious: Showdown";"Racing";"2013-05-21";"Xbox 360 | Wii U | PC (Microsoft Windows) | PlayStation 3 | Nintendo 3DS";"Activision | Firebrand Games";"33.0";"Fast & Furious / The Fast and the Furious"
"Fast & Furious: Crossroads";"Racing | Adventure";"2020-08-05";"PlayStation 4 | PC (Microsoft Windows) | Xbox One";"Slightly Mad Studios | Bandai Namco Entertainment";"40.1";"Fast & Furious / The Fast and the Furious"
"Fast & Furious: Spy Racers Rise of Sh1ft3r";"Racing";"2021-11-05";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Xbox One | Nintendo Switch";"3D Clouds | Outright Games";"";"Fast & Furious / The Fast and the Furious"
"John Wick Hex";"Simulator | Strategy | Turn-based strategy (TBS) | Tactical";"2019-10-08";"PlayStation 4 | PC (Microsoft Windows) | Mac | Xbox One | Nintendo Switch";"Good Shepherd Entertainment | Bithell Games | Gambitious";"60.0";"John Wick"
"The Witcher IV";"Role-playing (RPG) | Adventure";"";"PlayStation 5 | PC (Microsoft Windows) | Xbox Series X|S";"CD Projekt RED";"";"The Witcher"
"The Witcher 2: Assassins of Kings";"Role-playing (RPG) | Adventure";"2011-05-17";"Xbox 360 | Linux | PC (Microsoft Windows) | Mac";"cdp.pl | Bandai Namco Entertainment | CyberFront | Spike Chunsoft | CD Projekt RED | Atari, Inc.";"84.6";"The Witcher"
"The Witcher 3: Wild Hunt + Dark Souls III";"Role-playing (RPG) | Adventure";"2018-10-26";"PlayStation 4 | Xbox One";"Bandai Namco Entertainment";"";"The Witcher"
"Thronebreaker: The Witcher Tales";"Puzzle | Role-playing (RPG) | Strategy | Turn-based strategy (TBS) | Adventure | Card & Board Game";"2018-10-23";"PlayStation 4 | PC (Microsoft Windows) | iOS | Android | Xbox One | Nintendo Switch";"CD Projekt RED";"85.1";"The Witcher"
"Gwent: The Witcher Card Game";"Role-playing (RPG) | Strategy | Card & Board Game";"2018-10-23";"PlayStation 4 | PC (Microsoft Windows) | iOS | Android | Xbox One";"CD Projekt RED";"77.8";"The Witcher"
"Resident Evil Archives: Resident Evil";"Puzzle | Adventure";"2008-06-26";"Wii";"Capcom | Capcom Production Studio 4";"73.5";"Resident Evil"
"Resident Evil 2 + Resident Evil 3 Bundle";"Adventure";"";"";"";"";"Resident Evil"
"Resident Evil 4 and Resident Evil Code: Veronica X Bundle";"";"2009-09-17";"PlayStation 2 | PlayStation 3";"Capcom";"";"Resident Evil"
"Resident Evil 5";"Shooter | Adventure";"2009-03-05";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3";"Mercenary Technology | Capcom | K2";"73.8";"Resident Evil"
"Resident Evil 6";"Shooter | Adventure";"2012-10-02";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3";"QLOC | Capcom";"65.2";"Resident Evil"
"Resident Evil 7: Biohazard";"Shooter | Puzzle | Adventure";"2017-01-24";"PlayStation 5 | PlayStation VR | PlayStation 4 | PC (Microsoft Windows) | iOS | Google Stadia | Xbox Series X|S | Mac | Xbox One";"Capcom";"84.0";"Resident Evil"
"Resident Evil Village & Resident Evil 7 Complete Bundle";"Adventure";"2021-05-07";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One";"Capcom";"";"Resident Evil"
"The Last of Us";"Shooter | Adventure";"2013-06-14";"PlayStation 3";"Naughty Dog | Sony Interactive Entertainment";"94.8";"The Last of Us"
"The Last of Us: Left Behind";"Shooter | Adventure";"2014-02-14";"PlayStation 4 | PlayStation 3";"Naughty Dog | Sony Computer Entertainment";"83.6";"The Last of Us"
"The Last of Us Part II";"Shooter | Adventure";"2020-06-19";"PlayStation 4";"Naughty Dog | Sony Interactive Entertainment";"90.9";"The Last of Us"
"Dune II: The Building of a Dynasty";"Real Time Strategy (RTS) | Strategy";"1992-12-01";"DOS | Acorn Archimedes | Amiga | Sega Mega Drive/Genesis";"Westwood Studios | Virgin Games";"90.1";"Dune"
"Dune 2000";"Real Time Strategy (RTS) | Strategy";"1998-09-01";"PC (Microsoft Windows) | PlayStation";"Electronic Arts | Westwood Studios | Intelligent Games";"79.8";"Dune"
"Emperor: Battle for Dune";"Real Time Strategy (RTS) | Strategy";"2001-06-12";"PC (Microsoft Windows)";"Intelligent Games | Westwood Studios | Electronic Arts";"77.0";"Dune"
"Dune: Spice Wars";"Real Time Strategy (RTS) | Strategy | Tactical";"2023-09-14";"PC (Microsoft Windows) | Xbox Series X|S";"Shiro Games | Funcom";"69.9";"Dune"
"Avatar: The Last Airbender";"Role-playing (RPG) | Adventure";"2006-10-10";"Game Boy Advance";"THQ | Halfbrick Studios";"";"Avatar – Der Herr der Elemente / Avatar: The Last Airbender"
"Avatar: The Last Airbender - The Burning Earth";"Adventure";"2007-10-16";"Xbox 360 | PlayStation 2 | PlayStation Portable | Wii";"THQ";"58.8";"Avatar – Der Herr der Elemente / Avatar: The Last Airbender"
"Avatar: The Last Airbender - Into the Inferno";"Adventure";"2008-10-13";"PlayStation 2 | Wii";"THQ | Nick Games";"60.4";"Avatar – Der Herr der Elemente / Avatar: The Last Airbender"
"The Legend of Korra";"Fighting | Hack and slash/Beat 'em up | Adventure";"2014-10-21";"Xbox 360 | PlayStation 4 | PC (Microsoft Windows) | PlayStation 3 | Xbox One";"PlatinumGames | Activision";"67.2";"Avatar – Der Herr der Elemente / Avatar: The Last Airbender"
"Avatar Generations";"Role-playing (RPG) | Strategy | Turn-based strategy (TBS) | Tactical";"2023-02-01";"iOS | Android";"Navigator Games";"";"Avatar – Der Herr der Elemente / Avatar: The Last Airbender"
"Saw";"Puzzle";"2009-10-06";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3";"Konami | Zombie Studios";"70.7";"Saw / Jigsaw"
"Saw II: Flesh & Blood";"Puzzle | Adventure";"2010-10-19";"Xbox 360 | PlayStation 3";"Konami | Zombie Studios";"59.8";"Saw / Jigsaw"
"Telltale's Stranger Things Game";"";"";"";"Telltale Games";"";"Stranger Things"
"Stranger Things 3: The Game";"Puzzle | Role-playing (RPG) | Adventure";"2019-07-04";"PlayStation 4 | PC (Microsoft Windows) | iOS | Android | Mac | Xbox One | Nintendo Switch";"BonusXP | BonusXP";"70.2";"Stranger Things"
"Stranger Things VR";"Adventure";"2024-02-22";"Meta Quest 2 | PlayStation VR2 | SteamVR | Meta Quest 3";"Tender Claws | Tender Claws";"";"Stranger Things"
